timestamp,open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022/12/10,61.5,61.9,61.3,61.7,11997.611,11997.611
2022/12/9,62.9,63.4,61,61.5,92191.065,92191.065
2022/12/8,61.4,63.5,60.4,62.8,78099.435,78099.435
2022/12/7,64,64.1,60.1,61.4,138823.25,138823.25
2022/12/6,64.4,65.6,62.7,64,77089.109,77089.109
2022/12/5,64.4,67.3,63.8,64.4,114181.533,114181.533
2022/12/4,62.7,64.6,62.7,64.4,61920.918,61920.918
2022/12/3,65.7,66.4,62.5,62.8,87857.443,87857.443
2022/12/2,63.7,65.8,62.2,65.7,118425.765,118425.765
2022/12/1,65.3,65.5,63,63.6,101872.218,101872.218
2022/11/30,61.6,66,61.6,65.3,183829.887,183829.887
2022/11/29,60.1,62.5,59.5,61.6,116656.424,116656.424
2022/11/28,61.5,62.6,58.5,60.2,158701.234,158701.234
2022/11/27,61.7,63.4,59.9,61.5,301776.958,301776.958
2022/11/26,59.1,62.5,59.1,61.8,201160.874,201160.874
2022/11/25,58.1,60.5,56.7,59.2,172823.625,172823.625
2022/11/24,58.5,60.1,57.3,58.2,131257.362,131257.362
2022/11/23,57.4,59.4,56.5,58.5,235567.726,235567.726
2022/11/22,55.9,57.9,50.2,57.5,725741.201,725741.201
2022/11/21,56,57.9,53.9,55.9,185280.612,185280.612
2022/11/20,58.8,62.1,55.5,56.1,213779.705,213779.705
2022/11/19,58.4,59.2,56.9,58.7,70747.163,70747.163
2022/11/18,58.6,61.4,57.4,58.4,125846.513,125846.513
2022/11/17,58.3,59.6,56.8,58.5,111201.692,111201.692
2022/11/16,61,62.2,57,58.4,158757.769,158757.769
2022/11/15,59.2,63,58.4,61,215254.241,215254.241
2022/11/14,56.7,59.8,53.4,59.2,285264.128,285264.128
2022/11/13,58,61,55.7,56.6,307122.874,307122.874
2022/11/12,64.1,64.1,56.8,58.1,499358.201,499358.201
2022/11/11,68,68.9,60.5,64,281627.934,281627.934
2022/11/10,58.2,70.9,57,68,474350.321,474350.321
2022/11/9,72.2,73.1,56.9,58.1,457924.579,457924.579
2022/11/8,87.2,88.4,65.6,72.2,602566.691,602566.691
2022/11/7,86.3,90.5,83.8,87.3,193318.74,193318.74
2022/11/6,96.3,96.4,86.3,86.4,201022.883,201022.883
2022/11/5,94.7,98.4,93.5,96.3,184998.275,184998.275
2022/11/4,83.7,97.7,83.3,94.6,335363.331,335363.331
2022/11/3,80.4,86.6,79.8,83.7,133482.774,133482.774
2022/11/2,84.2,85.7,79.1,80.5,137280.902,137280.902
2022/11/1,83.9,86.3,83.5,84.2,92036.054,92036.054
2022/10/31,83.9,87.2,82.4,83.9,108644.041,108644.041
2022/10/30,85.4,86.9,82.8,83.9,64194.968,64194.968
2022/10/29,84.1,87.4,83.8,85.4,111401.65,111401.65
2022/10/28,81.4,85,80.5,84.1,94671.477,94671.477
2022/10/27,83.5,87.1,80.5,81.4,195605.982,195605.982
2022/10/26,81.9,85.3,80.8,83.5,191678.394,191678.394
2022/10/25,85.1,86.4,81.5,81.9,233080.245,233080.245
2022/10/24,88.9,90,84.6,85.1,137506.905,137506.905
2022/10/23,82.1,90.1,81.5,88.8,95579.844,95579.844
2022/10/22,82.1,84.4,81.3,82.2,47539.088,47539.088
2022/10/21,80.8,83.3,78.3,82.1,118974.477,118974.477
2022/10/20,82.8,83.9,80,80.7,97828.067,97828.067
2022/10/19,82.4,85.8,81.2,82.8,158135.677,158135.677
2022/10/18,78.9,83.7,77.9,82.5,138966.218,138966.218
2022/10/17,75.9,79.7,74.7,78.9,84774.672,84774.672
2022/10/16,71.8,76.3,71.8,75.8,45262.259,45262.259
2022/10/15,72.9,73.4,71.4,71.9,26605.732,26605.732
2022/10/14,71,74.7,70.8,72.9,90460.559,90460.559
2022/10/13,71.5,72,64.7,71,168837.39,168837.39
2022/10/12,71.4,72.8,71.1,71.6,32958.909,32958.909
2022/10/11,73.5,73.6,71.2,71.4,50595.162,50595.162
2022/10/10,75.5,76.5,73.3,73.6,31014.762,31014.762
2022/10/9,74.6,76.1,74.2,75.5,23731.376,23731.376
2022/10/8,75.7,76.2,73.9,74.6,22752.315,22752.315
2022/10/7,77.4,78.3,75,75.8,53599.961,53599.961
2022/10/6,78.8,80.4,77.2,77.5,77223.946,77223.946
2022/10/5,78.9,79.2,75.8,78.8,58332.845,58332.845
2022/10/4,75.6,79.8,75.5,78.9,67929.104,67929.104
2022/10/3,72.6,76.2,71.8,75.5,69920.296,69920.296
2022/10/2,74.5,75.9,72.1,72.6,90772.121,90772.121
2022/10/1,74.6,76.1,73.9,74.5,60557.732,60557.732
2022/9/30,77,78,73.7,74.6,87081.019,87081.019
2022/9/29,76.9,77.6,74.3,76.9,62809.833,62809.833
2022/9/28,76.7,78.1,73,76.8,126074.5,126074.5
2022/9/27,76.2,80.9,74.6,76.6,112577.46,112577.46
2022/9/26,73.6,76.6,72.6,76.2,92569.996,92569.996
2022/9/25,74.9,77.6,72.7,73.6,46457.151,46457.151
2022/9/24,77,77.4,74.6,75,48703.744,48703.744
2022/9/23,76.7,78.8,72.8,77.1,89220.265,89220.265
2022/9/22,71.6,77.7,71.5,76.7,96991.203,96991.203
2022/9/21,74.1,79.6,70.4,71.6,171833.493,171833.493
2022/9/20,76.3,77.2,73.7,74,95897.764,95897.764
2022/9/19,73.1,77,70.7,76.4,159042.066,159042.066
2022/9/18,81.4,82,70.7,73,133739.125,133739.125
2022/9/17,79.4,81.7,79.1,81.4,54439.15,54439.15
2022/9/16,78.6,80.5,77.2,79.3,129579.455,129579.455
2022/9/15,83.7,84.2,77.7,78.5,214634.37,214634.37
2022/9/14,82.9,86,81.1,83.7,192224.332,192224.332
2022/9/13,91,93.8,82.3,83,422344.918,422344.918
2022/9/12,91.5,97,89.3,90.9,213336.765,213336.765
2022/9/11,92.7,94.5,89.2,91.6,148221.062,148221.062
2022/9/10,91.2,94,89.7,92.7,115100.573,115100.573
2022/9/9,88.3,94.1,88.2,91.2,116375.442,116375.442
2022/9/8,87.5,90,85.5,88.2,91022.421,91022.421
2022/9/7,83.6,89.3,82,87.5,121689.189,121689.189
2022/9/6,91.2,93.8,83,83.6,176542.931,176542.931
2022/9/5,88.9,91.8,86.7,91.1,72817.196,72817.196
2022/9/4,87.2,89,85.8,88.8,53304.276,53304.276
2022/9/3,88.3,88.7,85.7,87.1,58850.791,58850.791
2022/9/2,86.5,92.1,84.8,88.4,148802.317,148802.317
2022/9/1,84.8,87,82,86.4,100488.442,100488.442
2022/8/31,84.5,88.8,84.3,84.8,136119.452,136119.452
